mass_A
t;x;y
1.986008889E1;3.066016797E-1;3.234874182E-1
1.986424444E1;3.034645548E-1;3.234428540E-1
1.986840000E1;3.005082959E-1;3.233945990E-1
1.987253333E1;2.974877065E-1;3.233570149E-1
1.987672222E1;2.944770473E-1;3.232695946E-1
1.988085556E1;2.916281232E-1;3.231823568E-1
1.988500000E1;2.884800237E-1;3.231207192E-1
1.988916667E1;2.856863259E-1;3.230885379E-1
1.989331111E1;2.824544567E-1;3.230201255E-1
1.989746667E1;2.795873510E-1;3.229393855E-1
1.990161111E1;2.765177278E-1;3.228441335E-1
1.990578889E1;2.736176229E-1;3.227669354E-1
1.990991111E1;2.707657216E-1;3.227068295E-1
1.991406667E1;2.677023826E-1;3.226730971E-1
1.991823333E1;2.648173137E-1;3.226588573E-1
1.992237778E1;2.617549295E-1;3.226136781E-1
1.992652222E1;2.588755356E-1;3.225193649E-1
1.993067778E1;2.559785747E-1;3.224245866E-1
1.993484444E1;2.529202909E-1;3.223457421E-1
1.993901111E1;2.501212416E-1;3.222862803E-1
1.994317778E1;2.469556136E-1;3.222112328E-1
1.994730000E1;2.441014835E-1;3.221408089E-1
1.995144444E1;2.411606586E-1;3.220479431E-1
1.995560000E1;2.381791353E-1;3.219896455E-1
1.995974444E1;2.354258017E-1;3.219347705E-1
1.996390000E1;2.323108000E-1;3.219183507E-1
1.996805556E1;2.294044889E-1;3.218741488E-1
1.997221111E1;2.265027559E-1;3.218254373E-1
1.997635556E1;2.235412872E-1;3.217430783E-1
1.998051111E1;2.207384692E-1;3.216417809E-1
1.998465556E1;2.178135181E-1;3.215894246E-1
1.998882222E1;2.148128844E-1;3.215362238E-1
1.999297778E1;2.120020533E-1;3.214688649E-1
1.999714444E1;2.089145611E-1;3.214054040E-1
2.000127778E1;2.060234723E-1;3.213107321E-1
2.000544444E1;2.032114275E-1;3.212474352E-1
2.000958889E1;2.001896969E-1;3.212022350E-1
2.001374444E1;1.973107767E-1;3.211612938E-1
2.001788889E1;1.945354590E-1;3.211209341E-1
2.002203333E1;1.914781329E-1;3.210524705E-1
2.002621111E1;1.886198162E-1;3.209456785E-1
